id,event_type,event_cause,latitude,longitude,requires_road_closure,priority,corridor,zone,duration_minutes,hour,day_of_week,is_weekend,police_station
FKID000000,unplanned,vehicle_breakdown,13.0400041,77.5180991,False,High,Tumkur Road,,40.7,17.0,3.0,0,Peenya
FKID000001,unplanned,vehicle_breakdown,12.9218755,77.6451585,False,High,ORR East 1,,40.7,4.0,1.0,0,HSR Layout
FKID000002,unplanned,others,12.955622,77.5857083,False,Low,Non-corridor,Central Zone 2,1440.0,6.0,5.0,1,Wilson Garden
FKID000003,unplanned,tree_fall,13.0061469,77.5794348,True,Low,Non-corridor,,1440.0,17.0,3.0,0,Sadashivanagar
FKID000004,unplanned,vehicle_breakdown,12.95398,77.5852333,False,Low,Non-corridor,,38.7,4.0,1.0,0,Wilson Garden
FKID000005,unplanned,accident,13.0664854,77.5998755,False,Low,Non-corridor,North Zone 1,40.0,3.0,1.0,0,Hebbala
FKID000006,unplanned,vehicle_breakdown,12.9328703,77.4879814,False,Low,Non-corridor,,40.7,7.0,1.0,0,Kengeri
FKID000007,unplanned,others,12.973175,77.6003961,False,Low,Non-corridor,,1440.0,6.0,1.0,0,Cubbon Park
FKID000008,planned,public_event,12.97883573,77.59953728,False,High,CBD 2,,64.5,,,0,Cubbon Park
FKID000009,unplanned,vehicle_breakdown,13.0373543,77.6540442,False,Low,Non-corridor,,40.7,5.0,1.0,0,Hennuru
FKID000010,unplanned,water_logging,13.0008457,77.6813712,False,High,ORR East 2,,1440.0,18.0,3.0,0,K.R. Pura
FKID000011,unplanned,vehicle_breakdown,12.94457,77.5274017,False,High,ORR West 1,,40.7,5.0,1.0,0,Byatarayanapura
FKID000012,unplanned,water_logging,12.9995223,77.6827499,False,High,ORR East 2,,1440.0,18.0,3.0,0,Mahadevapura
FKID000013,unplanned,others,13.0418933,77.594705,False,High,ORR North 1,North Zone 1,1440.0,19.0,1.0,0,Hebbala
FKID000014,unplanned,pot_holes,12.975285,77.6256902,False,High,Old Madras Road,,1440.0,19.0,3.0,0,Halasur
FKID000015,unplanned,others,13.0633917,77.5933483,False,High,Bellary Road 2,,452.1,19.0,3.0,0,Kodigehalli
FKID000016,unplanned,others,13.063425,77.5933,False,High,Bellary Road 2,,452.1,19.0,3.0,0,Kodigehalli
FKID000017,unplanned,others,13.0254527,77.6417388,False,High,ORR North 1,,452.1,19.0,3.0,0,Hennuru
FKID000018,unplanned,tree_fall,12.9233517,77.5904883,False,Low,Non-corridor,,293.3,19.0,3.0,0,Jayanagara
FKID000019,unplanned,vehicle_breakdown,13.0001393,77.5840594,False,High,Bellary Road 1,,40.7,4.0,1.0,0,Sadashivanagar
FKID000020,unplanned,vehicle_breakdown,12.9071221,77.6286395,False,High,Hosur Road,,27.2,19.0,3.0,0,Madiwala
FKID000021,unplanned,tree_fall,12.927375,77.5806883,True,Low,Non-corridor,,1440.0,19.0,3.0,0,Jayanagara
FKID000022,unplanned,pot_holes,12.9169074,77.5950955,False,Low,Non-corridor,South Zone 1,1440.0,22.0,4.0,0,Jayanagara
FKID000023,unplanned,pot_holes,12.9667047,77.6615983,False,Low,,,1440.0,8.0,1.0,0,Jeevanbheemanagar
FKID000024,unplanned,water_logging,12.8966387,77.7202071,False,Low,Non-corridor,,1440.0,19.0,3.0,0,Whitefield
FKID000025,unplanned,tree_fall,12.9463911,77.597326,True,Low,Non-corridor,,843.3,6.0,3.0,0,Wilson Garden
FKID000026,unplanned,pot_holes,12.9856042,77.5977438,False,High,,,1440.0,8.0,1.0,0,Shivajinagar
FKID000027,unplanned,vehicle_breakdown,12.9077383,77.6005709,False,High,Bannerghata Road,,40.7,8.0,1.0,0,Mico Layout
FKID000028,unplanned,pot_holes,12.9635109,77.6642122,False,Low,,,9.1,8.0,1.0,0,HAL Old Airport
FKID000029,unplanned,pot_holes,12.9667073,77.6615616,False,Low,,,1440.0,8.0,1.0,0,Jeevanbheemanagar
FKID000030,unplanned,pot_holes,12.9666867,77.6616478,False,Low,Non-corridor,,1440.0,8.0,1.0,0,Jeevanbheemanagar
FKID000031,unplanned,vehicle_breakdown,12.907814,77.6006561,True,High,Bannerghata Road,,40.7,8.0,1.0,0,Mico Layout
FKID000032,unplanned,vehicle_breakdown,12.8955737,77.5993711,False,High,Bannerghata Road,,40.7,5.0,1.0,0,J.P. Nagar
FKID000033,unplanned,tree_fall,12.92757,77.5832051,False,Low,Non-corridor,,1440.0,20.0,3.0,0,Jayanagara
